Condition,Car Make,is_luxury,Model,Model_encoded,Trim,Trim_encoded,Year,car_age,car_age_sqrt,Kilometers Numerical,age_km_interaction,Body Type,Number of Seats,Fuel,Transmission,Engine Size (cc),Regional Specs,Car License,Insurance,Car Customs,Body Condition,body_condition_encoded,Paint,paint_condition_encoded,interior_steering_wheel_controls,interior_airbags,technology_cruise_control,exterior_rear_sensors,exterior_keyless_entry,technology_tyre_pressure_monitoring,exterior_front_sensors,interior_electric_seat_control,technology_traction_control,technology_voice_control,technology_blind_spot_alert,technology_forward_collision_alert,technology_lane_departure_alert,technology_navigation_system_/_maps,Interior_Options_Count,Interior_Options_Count_cuberoot,Exterior_Options_Count,Exterior_Options_Count_cuberoot,Technology_Options_Count,Technology_Options_Count_cuberoot,tech_features_count,has_advanced_tech,Total_Options_Count,Total_Options_Count_cuberoot,weighted_options,Battery Capacity,Battery Range,log_price,maintenance_score,excellent_maintenance,size_class
Used,Mercedes Benz,1,EQB-Class,37,EQB 300,49,2022,3,1.732050808,25150.12041,75450.36123,SUV,5,Electric,Automatic,1499,European Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2.466212074,13,2.351334688,23,2.84386698,8,1,51,3.708429769,17.6,79,449,10.62135174,7,1,large
New,Volkswagen,0,ID 6,68,ID.6 Crozz Pro,96,2024,1,1,0,0,SUV,7,Electric,Automatic,1499,European Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,14,2.410142264,11,2.223980091,18,2.620741394,7,1,43,3.50339806,14.7,79,500,10.43414521,7,1,large
New,BYD,0,E2,34,E2,43,2024,1,1,0,0,HatchBack,5,Electric,Automatic,1499,European Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,0,0,1,1,1,1,0,0,0,1,0,0,0,0,6,1.817120593,8,2,8,2,3,0,22,2.802039331,7.4,50,449,9.497247144,7,1,medium
Used,Tesla,1,Model 3,81,Standard Plus,165,2021,4,2,105255.5688,421022.2752,Sedan,5,Electric,Automatic,5499,American Specs,Licensed,Compulsory Insurance,With Customs,Poor (severe body damages),1,Original Paint,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,2.5198421,14,2.410142264,21,2.758924176,8,1,51,3.708429769,17.4,100,349,9.878221025,4,0,medium
New,Dongfeng,0,D60,24,Standard,164,2023,2,1.414213562,0,0,Sedan,5,Electric,Automatic,1499,Japanese Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,0,1,0,0,1,1,0,1,1,1,0,0,0,1,9,2.080083823,6,1.817120593,13,2.351334688,4,1,28,3.036588972,9.7,50,449,9.510519036,7,1,medium
Used,Volkswagen,0,ID 6,68,ID.6 Crozz Pro,96,2023,2,1.414213562,14509.86042,29019.72084,SUV,7,Electric,Automatic,1499,European Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,2.223980091,9,2.080083823,19,2.668401649,8,1,39,3.391211443,13.6,79,500,10.29217944,7,1,large
Used,Neta,0,U,114,Pro 400,131,2023,2,1.414213562,5226.861163,10453.72233,SUV,5,Electric,Automatic,1499,Other Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,1,0,1,1,1,0,0,0,0,9,2.080083823,8,2,11,2.223980091,4,1,28,3.036588972,9.5,59,349,9.680406499,7,1,large
Used,Hyundai,0,Kona,72,Premium,129,2019,6,2.449489743,124770.9103,748625.4618,SUV,5,Electric,Automatic,1499,Korean Specs,Licensed,Comprehensive Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,2.410142264,12,2.289428485,22,2.802039331,8,1,48,3.634241186,16.6,59,500,9.504575923,7,1,large
Used,Kia,0,Niro EV,88,Wave,176,2022,3,1.732050808,14770.17422,44310.52266,SUV,5,Electric,Automatic,1499,Korean Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,0,1,1,1,1,1,0,1,1,1,1,0,15,2.466212074,8,2,11,2.223980091,5,1,34,3.239611801,11.3,59,500,10.02795928,7,1,large
Used,Volkswagen,0,ID 4,67,ID.4 Crozz Pro,92,2021,4,2,54647.62511,218590.5004,SUV,5,Electric,Automatic,1499,European Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,2.351334688,10,2.15443469,17,2.571281591,8,1,40,3.419951893,13.7,79,500,10.03236438,7,1,large
Used,Mercedes Benz,1,B-Class,13,B 250,20,2014,11,3.31662479,134828.105,1483109.155,SUV,5,Electric,Automatic,2499,European Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,0,0,0,1,0,1,0,0,0,1,0,0,11,2.223980091,5,1.709975947,8,2,2,0,24,2.884499141,8,59,149,9.071193241,7,1,large
New,BYD,0,Song L,104,Song L,158,2024,1,1,0,0,SUV,5,Electric,Automatic,1499,Other Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,2.410142264,10,2.15443469,20,2.714417617,8,1,44,3.530348335,15.2,79,500,10.07428462,7,1,large
Used,Volkswagen,0,ID 4,67,ID.4 Crozz Pure+,93,2021,4,2,24669.5936,98678.3744,SUV,5,Electric,Automatic,1499,European Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,1,1,1,1,0,1,1,1,1,8,2,9,2.080083823,15,2.466212074,7,1,32,3.174802104,11.1,79,500,9.998843186,7,1,large
Used,Toyota,0,bZ,119,bZ4X,183,2022,3,1.732050808,35350.8506,106052.5518,SUV,5,Electric,Automatic,1499,Other Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,0,1,1,0,1,1,1,1,1,0,1,1,1,11,2.223980091,9,2.080083823,15,2.466212074,7,1,35,3.27106631,12,59,500,10.06479825,7,1,large
